“ú•t,I,death,recover,R,S,E,total
2020/2/4,15,0,1,1,119999984,15,
2020/2/5,16,0,4,4,119999980,16,
2020/2/6,12,0,4,4,119999984,12,
2020/2/7,12,0,6,6,119999982,12,
2020/2/8,7,0,9,9,119999984,7,
2020/2/9,7,0,9,9,119999984,7,
2020/2/10,7,0,9,9,119999984,7,
2020/2/11,6,0,10,10,119999984,6,
2020/2/12,6,0,11,11,119999983,6,
2020/2/13,6,0,11,11,119999983,6,
2020/2/14,9,1,12,13,119999978,9,
2020/2/15,24,1,12,13,119999963,24,
2020/2/16,24,1,13,14,119999962,24,
2020/2/17,24,1,12,13,119999963,24,
2020/2/18,31,1,14,15,119999954,31,
2020/2/19,35,1,16,17,119999948,35,
2020/2/20,52,1,16,17,119999931,52,
2020/2/21,62,1,16,17,119999921,62,
2020/2/22,96,1,17,18,119999886,96,
2020/2/23,108,1,17,18,119999874,108,
2020/2/24,121,1,18,19,119999860,121,
2020/2/25,125,1,23,24,119999851,125,
2020/2/26,138,1,23,24,119999838,138,
2020/2/27,161,3,30,33,119999806,161,
2020/2/28,176,4,30,34,119999790,176,
2020/2/29,188,5,31,36,119999776,188,
2020/3/1,201,5,31,36,119999763,201,
2020/3/2,212,6,32,38,119999750,212,
2020/3/3,226,6,35,41,119999733,226,
2020/3/4,258,6,37,43,119999699,258,
2020/3/5,271,6,38,44,119999685,271,
2020/3/6,323,6,56,62,119999615,323,
2020/3/7,366,6,63,69,119999565,366,
2020/3/8,377,6,67,73,119999550,377,
2020/3/9,400,7,88,95,119999505,400,
2020/3/10,437,9,89,98,119999465,437,
2020/3/11,481,12,103,115,119999404,481,
2020/3/12,520,15,108,123,119999357,520,
2020/3/13,548,19,120,139,119999313,548,
2020/3/14,591,21,129,150,119999259,591,
2020/3/15,603,22,142,164,119999233,603,
2020/3/16,621,24,149,173,119999206,621,
2020/3/17,645,28,156,184,119999171,645,
2020/3/18,659,29,176,205,119999136,659,
2020/3/19,681,31,200,231,119999088,681,
2020/3/20,723,33,212,245,119999032,723,
2020/3/21,719,35,217,252,119999029,719,
2020/3/22,743,36,257,293,119998964,743,
2020/3/23,763,41,270,311,119998926,763,
2020/3/24,816,42,285,327,119998857,816,
2020/3/25,855,43,294,337,119998808,855,
2020/3/26,920,45,343,388,119998692,920,
2020/3/27,948,46,356,402,119998650,948,
2020/3/28,1187,49,388,437,119998376,1187,
2020/3/29,1358,52,408,460,119998182,1358,
2020/3/30,1423,54,408,462,119998115,1423,
2020/3/31,1594,56,408,464,119997942,1594,
2020/4/1,1757,57,456,513,119997730,1757,
2020/4/2,1980,60,489,549,119997471,1980,
2020/4/3,2227,63,498,561,119997212,2227,
2020/4/4,2553,69,559,628,119996819,2553,
2020/4/5,2921,70,568,638,119996441,2921,
2020/4/6,3132,73,575,648,119996220,3132,
2020/4/7,3472,80,605,685,119995843,3472,
2020/4/8,3914,81,615,696,119995390,3914,
2020/4/9,4461,85,668,753,119994786,4461,
2020/4/10,5063,88,697,785,119994152,5063,
2020/4/11,5751,94,745,839,119993410,5751,
2020/4/12,6239,98,767,865,119992896,6239,
2020/4/13,6564,102,782,884,119992552,6564,
2020/4/14,6961,109,836,945,119992094,6961,
2020/4/15,7388,119,884,1003,119991609,7388,
2020/4/16,7884,136,918,1054,119991062,7884,
2020/4/17,8448,148,995,1143,119990409,8448,
2020/4/18,8916,154,1052,1206,119989878,8916,
2020/4/19,9215,161,1142,1303,119989482,9215,
2020/4/20,9449,171,1222,1393,119989158,9449,
2020/4/21,9740,186,1339,1525,119988735,9740,
2020/4/22,10082,277,2023,2300,119987618,10082,
2020/4/23,10469,287,2391,2678,119986853,10469,
2020/4/24,10801,317,2519,2836,119986363,10801,
2020/4/25,11046,334,2645,2979,119985975,11046,
2020/4/26,11175,348,2798,3146,119985679,11175,
2020/4/27,11252,351,2888,3239,119985509,11252,
2020/4/28,11427,376,3170,3546,119985027,11427,
2020/4/29,11585,389,3357,3746,119984669,11585,
2020/4/30,11424,415,3449,3864,119984712,11424,
2020/5/1,11558,432,3964,4396,119984046,11558,
2020/5/2,11724,458,4194,4652,119983624,11724,
2020/5/3,11823,492,4368,4860,119983317,11823,
2020/5/4,11935,510,4479,4989,119983076,11935,
2020/5/5,11731,521,4570,5091,119983178,11731,
2020/5/6,11638,543,4901,5444,119982918,11638,
2020/5/7,11286,551,5129,5680,119983034,11286,
2020/5/8,6302,600,8110,8710,119984988,6302,
2020/5/9,6250,613,8276,8889,119984861,6250,
2020/5/10,6074,621,8514,9135,119984791,6074,
2020/5/11,5914,643,8903,9546,119984540,5914,
2020/5/12,5162,668,9851,10519,119984319,5162,
2020/5/13,4732,687,10321,11008,119984260,4732,
2020/5/14,4339,710,10792,11502,119984159,4339,
2020/5/15,4025,725,11136,11861,119984114,4025,
2020/5/16,3787,744,11398,12142,119984071,3787,
2020/5/17,3667,749,11547,12296,119984037,3667,
2020/5/18,3400,763,11867,12630,119983970,3400,
2020/5/19,3009,771,12269,13040,119983951,3009,
2020/5/20,2761,777,12655,13432,119983807,2761,
2020/5/21,2495,796,12988,13784,119983721,2495,
2020/5/22,2293,808,13227,14035,119983672,2293,
2020/5/23,2130,820,13396,14216,119983654,2130,
2020/5/24,2111,830,13446,14276,119983613,2111,
2020/5/25,1939,846,13643,14489,119983572,1939,
2020/5/26,1788,858,13806,14664,119983548,1788,
2020/5/27,1637,867,13979,14846,119983517,1637,
2020/5/28,1556,874,14085,14959,119983485,1556,
2020/5/29,1466,886,14237,15123,119983411,1466,
2020/5/30,1452,891,14290,15181,119983367,1452,
2020/5/31,1436,892,14333,15225,119983339,1436,
2020/6/1,1341,894,14481,15375,119983284,1341,
2020/6/2,1270,900,14602,15502,119983228,1270,
2020/6/3,1207,903,14690,15593,119983200,1207,
2020/6/4,1141,907,14795,15702,119983157,1141,
2020/6/5,1064,914,14901,15815,119983121,1064,
2020/6/6,1042,916,14961,15877,119983081,1042,
2020/6/7,1060,916,14970,15886,119983054,1060,
2020/6/8,1028,916,15035,15951,119983021,1028,
2020/6/9,965,919,15120,16039,119982996,965,
2020/6/10,923,920,15200,16120,119982957,923,
2020/6/11,854,922,15308,16230,119982916,854,
2020/6/12,810,924,15395,16319,119982871,810,
2020/6/13,801,925,15451,16376,119982823,801,
2020/6/14,819,925,15493,16418,119982763,819,
2020/6/15,871,927,15508,16435,119982694,871,
2020/6/16,760,931,15657,16588,119982652,760,
2020/6/17,712,935,15737,16672,119982616,712,
2020/6/18,707,935,15811,16746,119982547,707,
2020/6/19,677,952,15880,16832,119982491,677,
2020/6/20,711,953,15911,16864,119982425,711,
2020/6/21,732,953,15936,16889,119982379,732,
2020/6/22,706,955,16007,16962,119982332,706,
2020/6/23,698,963,16058,17021,119982281,698,
2020/6/24,713,967,16116,17083,119982204,713,
2020/6/25,727,968,16188,17156,119982117,727,
2020/6/26,757,970,16248,17218,119982025,757,
2020/6/27,790,970,16301,17271,119981939,790,
2020/6/28,822,971,16353,17324,119981854,822,
2020/6/29,869,971,16424,17395,119981736,869,
2020/6/30,897,973,16522,17495,119981608,897,
2020/7/1,1006,974,16563,17537,119981457,1006,
2020/7/2,1105,975,16654,17629,119981266,1105,
2020/7/3,1224,976,16747,17723,119981053,1224,
2020/7/4,1386,976,16838,17814,119980800,1386,
2020/7/5,1550,976,16912,17888,119980562,1550,
2020/7/6,1671,977,16981,17958,119980371,1671,
2020/7/7,1721,979,17115,18094,119980185,1721,
2020/7/8,1776,980,17250,18230,119979994,1776,
2020/7/9,1929,981,17436,18417,119979654,1929,
2020/7/10,2139,981,17633,18614,119979247,2139,
2020/7/11,2339,981,17787,18768,119978893,2339,
2020/7/12,2587,981,17887,18868,119978545,2587,
2020/7/13,2754,981,18066,19047,119978199,2754,
2020/7/14,2789,983,18312,19295,119977916,2789,
2020/7/15,2885,984,18580,19564,119977551,2885,
2020/7/16,3191,984,18862,19846,119976963,3191,
2020/7/17,3560,984,19132,20116,119976324,3560,
2020/7/18,3865,984,19342,20326,119975809,3865,
2020/7/19,4113,984,19523,20507,119975380,4113,
2020/7/20,4345,987,19921,20908,119974747,4345,
2020/7/21,4421,988,20403,21391,119974188,4421,
2020/7/22,4751,989,20787,21776,119973473,4751,
2020/7/23,5369,991,21080,22071,119972560,5369,
2020/7/24,5949,992,21319,22311,119971740,5949,
2020/7/25,6315,995,21514,22509,119971176,6315,
2020/7/26,6573,995,21868,22863,119970564,6573,
2020/7/27,6828,997,22560,23557,119969615,6828,
2020/7/28,7063,1000,23256,24256,119968681,7063,
2020/7/29,7508,1003,23928,24931,119967561,7508,
2020/7/30,8062,1005,24678,25683,119966255,8062,
2020/7/31,8945,1010,25253,26263,119964792,8945,
2020/8/1,9427,1010,25653,26663,119963910,9427,
2020/8/2,10422,1011,26234,27245,119962333,10422,
2020/8/3,10963,1015,26944,27959,119961078,10963,
2020/8/4,11665,1021,27775,28796,119959539,11665,
2020/8/5,11910,1025,28624,29649,119958441,11910,
2020/8/6,12159,1032,29900,30932,119956909,12159,
2020/8/7,12539,1038,31054,32092,119955369,12539,
2020/8/8,13011,1039,32059,33098,119953891,13011,
2020/8/9,13633,1046,32805,33851,119952516,13633,
2020/8/10,13724,1051,33722,34773,119951503,13724,
2020/8/11,13610,1058,34635,35693,119950697,13610,
2020/8/12,13286,1062,35858,36920,119949794,13286,
2020/8/13,13039,1072,37165,38237,119948724,13039,
2020/8/14,12976,1084,38600,39684,119947340,12976,
2020/8/15,13072,1087,39715,40802,119946126,13072,
2020/8/16,13008,1098,40794,41892,119945100,13008,
2020/8/17,12767,1114,41853,42967,119944266,12767,
2020/8/18,12084,1127,43379,44506,119943410,12084,
2020/8/19,11686,1143,44771,45914,119942400,11686,
2020/8/20,11709,1154,45938,47092,119941199,11709,
2020/8/21,11597,1168,47045,48213,119940190,11597,
2020/8/22,11732,1175,47946,49121,119939147,11732,
2020/8/23,11718,1180,48716,49896,119938386,11718,
2020/8/24,11211,1195,49794,50989,119937800,11211,
2020/8/25,10647,1208,51034,52242,119937111,10647,
2020/8/26,10306,1225,52169,53394,119936300,10306,
2020/8/27,10111,1237,53318,54555,119935334,10111,
2020/8/28,9697,1254,54650,55904,119934399,9697,
2020/8/29,9696,1263,55471,56734,119933570,9696,
2020/8/30,9649,1278,56109,57387,119932964,9649,
2020/8/31,9135,1295,57130,58425,119932440,9135,
2020/9/1,9108,1306,57735,59041,119931851,9108,
2020/9/2,8604,1318,58827,60145,119931251,8604,
2020/9/3,8363,1329,59720,61049,119930588,8363,
2020/9/4,7957,1348,60726,62074,119929969,7957,
2020/9/5,7908,1356,61357,62713,119929379,7908,
2020/9/6,7868,1362,61817,63179,119928953,7868,
2020/9/7,7439,1376,62563,63939,119928622,7439,
2020/9/8,7098,1392,63381,64773,119928129,7098,
2020/9/9,6839,1405,64116,65521,119927640,6839,
2020/9/10,6761,1411,64871,66282,119926957,6761,
2020/9/11,6684,1422,65561,66983,119926333,6684,
2020/9/12,6754,1438,66180,67618,119925628,6754,
2020/9/13,6841,1441,66504,67945,119925214,6841,
2020/9/14,6567,1450,67073,68523,119924910,6567,
2020/9/15,6346,1460,67754,69214,119924440,6346,
2020/9/16,6174,1472,68473,69945,119923881,6174,
2020/9/17,6014,1481,69117,70598,119923388,6014,
2020/9/18,6028,1494,69700,71194,119922778,6028,
2020/9/19,6026,1499,70231,71730,119922244,6026,
2020/9/20,6132,1499,70597,72096,119921772,6132,
2020/9/21,6168,1507,70841,72348,119921484,6168,
2020/9/22,6125,1511,71174,72685,119921190,6125,
2020/9/23,5904,1519,71699,73218,119920878,5904,
2020/9/24,5381,1531,72643,74174,119920445,5381,
2020/9/25,5260,1539,73304,74843,119919897,5260,
2020/9/26,5446,1544,73739,75283,119919271,5446,
2020/9/27,5498,1547,74122,75669,119918833,5498,
2020/9/28,5373,1556,74589,76145,119918482,5373,
2020/9/29,5324,1563,75151,76714,119917962,5324,
2020/9/30,5298,1570,75708,77278,119917424,5298,
2020/10/1,5320,1577,76327,77904,119916776,5320,
2020/10/2,5275,1589,76913,78502,119916223,5275,
2020/10/3,5314,1596,77414,79010,119915676,5314,
2020/10/4,5401,1598,77698,79296,119915303,5401,
2020/10/5,5258,1601,78148,79749,119914993,5258,
2020/10/6,5130,1604,78750,80354,119914516,5130,
2020/10/7,5056,1612,79301,80913,119914031,5056,
2020/10/8,5160,1615,79807,81422,119913418,5160,
2020/10/9,5120,1623,80425,82048,119912832,5120,
2020/10/10,5292,1626,80893,82519,119912189,5292,
2020/10/11,5443,1628,81182,82810,119911747,5443,
2020/10/12,5245,1633,81690,83323,119911432,5245,
2020/10/13,5162,1637,82223,83860,119910978,5162,
2020/10/14,5054,1645,82899,84544,119910402,5054,
2020/10/15,5176,1649,83509,85158,119909666,5176,
2020/10/16,5205,1660,84088,85748,119909047,5205,
2020/10/17,5326,1669,84535,86204,119908470,5326,
2020/10/18,5375,1673,84961,86634,119907991,5375,
2020/10/19,5174,1675,85518,87193,119907633,5174,
2020/10/20,5031,1678,86100,87778,119907191,5031,
2020/10/21,5037,1684,86648,88332,119906631,5037,
2020/10/22,5067,1693,87227,88920,119906013,5067,
2020/10/23,5216,1705,87765,89470,119905314,5216,
2020/10/24,5436,1710,88237,89947,119904617,5436,
2020/10/25,5503,1717,88658,90375,119904122,5503,
2020/10/26,5499,1724,89092,90816,119903685,5499,
2020/10/27,5446,1729,89746,91475,119903079,5446,
2020/10/28,5642,1732,90251,91983,119902375,5642,
2020/10/29,5848,1743,90811,92554,119901598,5848,
2020/10/30,6012,1754,91392,93146,119900842,6012,
2020/10/31,6246,1765,91877,93642,119900112,6246,
2020/11/1,6474,1773,92300,94073,119899453,6474,
2020/11/2,6469,1779,92760,94539,119898992,6469,
2020/11/3,6634,1785,93192,94977,119898389,6634,
2020/11/4,6707,1793,94003,95796,119897497,6707,
2020/11/5,7075,1805,94637,96442,119896483,7075,
2020/11/6,7501,1808,95330,97138,119895361,7501,
2020/11/7,7904,1811,96057,97868,119894228,7904,
2020/11/8,8346,1817,96511,98328,119893326,8346,
2020/11/9,8702,1828,97114,98942,119892356,8702,
2020/11/10,9048,1840,97932,99772,119891180,9048,
2020/11/11,9676,1850,98819,100669,119889655,9676,
2020/11/12,10243,1866,99824,101690,119888067,10243,
2020/11/13,10923,1879,100789,102668,119886409,10923,
2020/11/14,11759,1882,101632,103514,119884727,11759,
2020/11/15,12358,1884,102454,104338,119883304,12358,
2020/11/16,12564,1902,103406,105308,119882128,12564,
2020/11/17,12978,1912,104464,106376,119880646,12978,
2020/11/18,13833,1921,105701,107622,119878545,13833,
2020/11/19,14708,1942,107148,109090,119876202,14708,
2020/11/20,15627,1962,108608,110570,119873803,15627,
2020/11/21,16822,1973,109870,111843,119871335,16822,
2020/11/22,17878,1980,110970,112950,119869172,17878,
2020/11/23,18392,1988,112012,114000,119867608,18392,
2020/11/24,18426,2000,113394,115394,119866180,18426,
2020/11/25,18565,2021,115032,117053,119864382,18565,
2020/11/26,19105,2050,116778,118828,119862067,19105,
2020/11/27,19508,2073,118898,120971,119859521,19508,
2020/11/28,20992,2105,120530,122635,119856373,20992,
2020/11/29,20914,2118,122072,124190,119854896,20914,
2020/11/30,20900,2138,124088,126226,119852874,20900,
2020/12/1,20601,2171,125897,128068,119851331,20601,
2020/12/2,21044,2212,127814,130026,119848930,21044,
2020/12/3,21567,2239,129740,131979,119846454,21567,
2020/12/4,21739,2282,131995,134277,119843984,21739,
2020/12/5,22249,2314,133820,136134,119841617,22249,
2020/12/6,22535,2334,135434,137768,119839697,22535,
2020/12/7,22187,2381,137516,139897,119837916,22187,
2020/12/8,22412,2419,139124,141543,119836045,22412,
2020/12/9,22683,2464,141494,143958,119833359,22683,
2020/12/10,23646,2501,143491,145992,119830362,23646,
2020/12/11,23867,2533,145987,148520,119827613,23867,
2020/12/12,24981,2561,147740,150301,119824718,24981,
2020/12/13,25536,2584,149391,151975,119822489,25536,
2020/12/14,25093,2642,151949,154591,119820316,25093,
2020/12/15,25142,2687,153971,156658,119795745,25142,
2020/12/16,25287,2738,156695,159433,119792731,25287,
2020/12/17,25629,2782,159176,161958,119789566,25629,
2020/12/18,26064,2827,161686,164513,119786186,26064,
2020/12/19,26743,2872,163702,166574,119782812,26743,
2020/12/20,26816,2899,165873,168772,119780495,26816,
2020/12/21,27147,2943,167693,170636,119778013,27147,
2020/12/22,26863,2993,170458,173451,119775816,26863,
2020/12/23,27077,3049,173205,176254,119772641,27077,
2020/12/24,28154,3104,176103,179207,119767589,28154,
2020/12/25,29278,3154,178482,181636,119762962,29278,
2020/12/26,30369,3212,180882,184094,119758380,30369,
2020/12/27,31098,3251,182947,186198,119754857,31098,
2020/12/28,31694,3305,185223,188528,119751389,31694,
2020/12/29,32477,3348,187739,191087,119747307,32477,
2020/12/30,34037,3413,189695,193108,119742231,34037,
2020/12/31,36052,3459,191949,195408,119735947,36052,
2021/1/1,37187,3513,194650,198163,119730976,37187,
2021/1/2,38031,3547,196693,200240,119727245,38031,
2021/1/3,38729,3598,198874,202472,119723668,38729,
2021/1/4,39905,3654,201606,205260,119718584,39905,
2021/1/5,40908,3718,205212,208930,119712972,40908,
2021/1/6,43423,3790,208621,212411,119704533,43423,
2021/1/7,46780,3856,211900,215756,119694540,46780,
2021/1/8,51125,3931,215527,219458,119682223,51125,
2021/1/9,55238,3995,218676,222671,119670848,55238,
2021/1/10,58622,4043,221087,225130,119661669,58622,
2021/1/11,61449,4093,223509,227602,119653593,61449,
2021/1/12,62930,4144,227174,231318,119646966,62930,
2021/1/13,63648,4232,231747,235979,119640957,63648,
2021/1/14,65118,4314,236545,240859,119633219,65118,
2021/1/15,66628,4379,242041,246420,119624703,66628,
2021/1/16,68321,4445,246537,250982,119616821,68321,
2021/1/17,69983,4500,250833,255333,119609201,69983,
2021/1/18,71129,4547,255764,260311,119601978,71129,
2021/1/19,69352,4646,263026,267672,119598270,69352,
2021/1/20,66436,4742,271216,275958,119595912,66436,
